Code postal,Localité,Sous-commune,Commune principale,Province
8850,Ardooie,Non,ARDOOIE,FLANDRE-OCCIDENTALE
2370,Arendonk,Non,ARENDONK,ANVERS
4601,Argenteau,Oui,VISÉ,LIEGE
6700,Arlon,Non,ARLON,LUXEMBOURG
7181,Arquennes,Oui,SENEFFE,HAINAUT
5060,Arsimont,Oui,SAMBREVILLE,NAMUR
6870,Arville,Oui,SAINT-HUBERT,LUXEMBOURG
3665,As,Non,AS,LIMBOURG
9404,Aspelare,Oui,NINOVE,FLANDRE-ORIENTALE
9890,Asper,Oui,GAVERE,FLANDRE-ORIENTALE
7040,Asquillies,Oui,QUÉVY,HAINAUT
1730,Asse,Non,ASSE,BRABANT FLAMAND
8310,Assebroek,Oui,BRUGGE,FLANDRE-OCCIDENTALE
1007,Assemblée de la Commission Communautaire Française,,Assemblée de la Commission Communautaire Française,
1005,Assemblée Réunie de la Commission Communautaire,,Assemblée Réunie de la Commission Communautaire,
9960,Assenede,Non,ASSENEDE,FLANDRE-ORIENTALE
6860,Assenois,Oui,LÉGLISE,LUXEMBOURG
3460,Assent,Oui,BEKKEVOORT,BRABANT FLAMAND
5330,Assesse,Non,ASSESSE,NAMUR
9800,Astene,Oui,DEINZE,FLANDRE-ORIENTALE
7800,Ath,Non,ATH,HAINAUT
7387,Athis,Oui,HONNELLES,HAINAUT
6791,Athus,Oui,AUBANGE,LUXEMBOURG
3404,Attenhoven,Oui,LANDEN,BRABANT FLAMAND
3384,Attenrode,Oui,GLABBEEK,BRABANT FLAMAND
6717,Attert,Non,ATTERT,LUXEMBOURG
7941,Attre,Oui,BRUGELETTE,HAINAUT
6790,Aubange,Non,AUBANGE,LUXEMBOURG
7972,Aubechies,Oui,BELOEIL,HAINAUT
4880,Aubel,Non,AUBEL,LIEGE
5660,Aublain,Oui,COUVIN,NAMUR
6880,Auby-Sur-Semois,Oui,BERTRIX,LUXEMBOURG
1160,Auderghem,Non,AUDERGHEM,BRUXELLES
7382,Audregnies,Oui,QUIÉVRAIN,HAINAUT
7040,Aulnois,Oui,QUÉVY,HAINAUT
6706,Autelbas,Oui,ARLON,LUXEMBOURG
1367,Autre-Eglise,Oui,RAMILLIES,BRABANT WALLON
7387,Autreppe,Oui,HONNELLES,HAINAUT
5060,Auvelais,Oui,SAMBREVILLE,NAMUR
5580,Ave-Et-Auffe,Oui,ROCHEFORT,NAMUR
8630,Avekapelle,Oui,VEURNE,FLANDRE-OCCIDENTALE
8580,Avelgem,Non,AVELGEM,FLANDRE-OCCIDENTALE
4260,Avennes,Oui,BRAIVES,LIEGE
3271,Averbode,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND
4280,Avernas-Le-Bauduin,Oui,HANNUT,LIEGE
4280,Avin,Oui,HANNUT,LIEGE
4340,Awans,Non,AWANS,LIEGE
6870,Awenne,Oui,SAINT-HUBERT,LUXEMBOURG
4400,Awirs,Oui,FLÉMALLE,LIEGE
6900,Aye,Oui,MARCHE-EN-FAMENNE,LUXEMBOURG
4630,Ayeneux,Oui,SOUMAGNE,LIEGE
4920,Aywaille,Non,AYWAILLE,LIEGE
9890,Baaigem,Oui,GAVERE,FLANDRE-ORIENTALE
3128,Baal,Oui,TREMELO,BRABANT FLAMAND
9310,Baardegem,Oui,AALST,FLANDRE-ORIENTALE
2387,Baarle-Hertog,Non,BAARLE-HERTOG,ANVERS
9200,Baasrode,Oui,DENDERMONDE,FLANDRE-ORIENTALE
9800,Bachte-Maria-Leerne,Oui,DEINZE,FLANDRE-ORIENTALE
4837,Baelen,Non,BAELEN,LIEGE
5550,Bagimont,Oui,VRESSE-SUR-SEMOIS,NAMUR
6464,Baileux,Oui,CHIMAY,HAINAUT
6460,Bailièvre,Oui,CHIMAY,HAINAUT
5555,Baillamont,Oui,BIÈVRE,NAMUR
7730,Bailleul,Oui,ESTAIMPUIS,HAINAUT
5377,Baillonville,Oui,SOMME-LEUZE,NAMUR
7380,Baisieux,Oui,QUIÉVRAIN,HAINAUT
1470,Baisy-Thy,Oui,GENAPPE,BRABANT WALLON
5190,Balâtre,Oui,JEMEPPE-SUR-SAMBRE,NAMUR
9860,Balegem,Oui,OOSTERZELE,FLANDRE-ORIENTALE
2490,Balen,Non,BALEN,ANVERS
9420,Bambrugge,Oui,ERPE-MERE,FLANDRE-ORIENTALE
6951,Bande,Oui,NASSOGNE,LUXEMBOURG
6500,Barbençon,Oui,BEAUMONT,HAINAUT
4671,Barchon,Oui,BLÉGNY,LIEGE
5570,Baronville,Oui,BEAURAING,NAMUR
7534,Barry,Oui,TOURNAI,HAINAUT
5370,Barvaux-Condroz,Oui,HAVELANGE,NAMUR
6940,Barvaux-Sur-Ourthe,Oui,DURBUY,LUXEMBOURG
4520,Bas-Oha,Oui,WANZE,LIEGE
7784,Bas-Warneton,Oui,COMINES-WARNETON,HAINAUT
7971,Basècles,Oui,BELOEIL,HAINAUT
4983,Basse-Bodeux,Oui,TROIS-PONTS,LIEGE
4690,Bassenge,Non,BASSENGE,LIEGE
9968,Bassevelde,Oui,ASSENEDE,FLANDRE-ORIENTALE
7830,Bassilly,Oui,SILLY,HAINAUT
6600,Bastogne,Non,BASTOGNE,LUXEMBOURG
3870,Batsheers,Oui,HEERS,LIMBOURG
4651,Battice,Oui,HERVE,LIEGE
7130,Battignies,Oui,BINCHE,HAINAUT
7331,Baudour,Oui,SAINT-GHISLAIN,HAINAUT
7870,Bauffe,Oui,LENS,HAINAUT
7604,Baugnies,Oui,PÉRUWELZ,HAINAUT
1401,Baulers,Oui,NIVELLES,BRABANT WALLON
9520,Bavegem,Oui,SINT-LIEVENS-HOUTEM,FLANDRE-ORIENTALE
8531,Bavikhove,Oui,HARELBEKE,FLANDRE-OCCIDENTALE
9150,Bazel,Oui,KRUIBEKE,FLANDRE-ORIENTALE
4052,Beaufays,Oui,CHAUDFONTAINE,LIEGE
6500,Beaumont,Non,BEAUMONT,HAINAUT
5570,Beauraing,Non,BEAURAING,NAMUR
6980,Beausaint,Oui,LA ROCHE-EN-ARDENNE,LUXEMBOURG
1320,Beauvechain,Non,BEAUVECHAIN,BRABANT WALLON
6594,Beauwelz,Oui,MOMIGNIES,HAINAUT
7532,Béclers,Oui,TOURNAI,HAINAUT
3960,Beek,Oui,BREE,LIMBOURG
9630,Beerlegem,Oui,ZWALM,FLANDRE-ORIENTALE
8730,Beernem,Non,BEERNEM,FLANDRE-OCCIDENTALE
2340,Beerse,Non,BEERSE,ANVERS
1650,Beersel,Non,BEERSEL,BRABANT FLAMAND
8600,Beerst,Oui,DIKSMUIDE,FLANDRE-OCCIDENTALE
1673,Beert,Oui,PEPINGEN,BRABANT FLAMAND
9080,Beervelde,Oui,LOCHRISTI,FLANDRE-ORIENTALE
2580,Beerzel,Oui,PUTTE,ANVERS
5000,Beez,Oui,NAMUR,NAMUR
6987,Beffe,Oui,RENDEUX,LUXEMBOURG
3130,Begijnendijk,Non,BEGIJNENDIJK,BRABANT FLAMAND
6672,Beho,Oui,GOUVY,LUXEMBOURG
1852,Beigem,Oui,GRIMBERGEN,BRABANT FLAMAND
8480,Bekegem,Oui,ICHTEGEM,FLANDRE-OCCIDENTALE
1730,Bekkerzeel,Oui,ASSE,BRABANT FLAMAND
3460,Bekkevoort,Non,BEKKEVOORT,BRABANT FLAMAND
5001,Belgrade,Oui,NAMUR,NAMUR
4610,Bellaire,Oui,BEYNE-HEUSAY,LIEGE
7170,Bellecourt,Oui,MANAGE,HAINAUT
5555,Bellefontaine,Oui,BIÈVRE,NAMUR
6730,Bellefontaine,Oui,TINTIGNY,LUXEMBOURG
8510,Bellegem,Oui,KORTRIJK,FLANDRE-OCCIDENTALE
9881,Bellem,Oui,AALTER,FLANDRE-ORIENTALE
6834,Bellevaux,Oui,BOUILLON,LUXEMBOURG
4960,Bellevaux-Ligneuville,Oui,MALMEDY,LIEGE
1674,Bellingen,Oui,PEPINGEN,BRABANT FLAMAND
7970,Beloeil,Non,BELOEIL,HAINAUT
9111,Belsele,Oui,SINT-NIKLAAS,FLANDRE-ORIENTALE
4500,Ben-Ahin,Oui,HUY,LIEGE
6941,Bende,Oui,DURBUY,LUXEMBOURG
3540,Berbroek,Oui,HERK-DE-STAD,LIMBOURG
2600,Berchem,Oui,ANTWERPEN,ANVERS
9690,Berchem,Oui,KLUISBERGEN,FLANDRE-ORIENTALE
1082,Berchem-Sainte-Agathe,Non,BERCHEM-SAINTE-AGATHE,BRUXELLES
2040,Berendrecht,Oui,ANTWERPEN,ANVERS
1910,Berg,Oui,KAMPENHOUT,BRABANT FLAMAND
3700,Berg,Oui,TONGEREN,LIMBOURG
4360,Bergilers,Oui,OREYE,LIEGE
3580,Beringen,Non,BERINGEN,LIMBOURG
2590,Berlaar,Non,BERLAAR,ANVERS
9290,Berlare,Non,BERLARE,FLANDRE-ORIENTALE
3830,Berlingen,Oui,WELLEN,LIMBOURG
4257,Berloz,Non,BERLOZ,LIEGE
4607,Berneau,Oui,DALHEM,LIEGE
7320,Bernissart,Non,BERNISSART,HAINAUT
6560,Bersillies-L'Abbaye,Oui,ERQUELINNES,HAINAUT
3060,Bertem,Non,BERTEM,BRABANT FLAMAND
6687,Bertogne,Non,BERTOGNE,LUXEMBOURG
4280,Bertrée,Oui,HANNUT,LIEGE
6880,Bertrix,Non,BERTRIX,LUXEMBOURG
5651,Berzée,Oui,WALCOURT,NAMUR
8980,Beselare,Oui,ZONNEBEKE,FLANDRE-OCCIDENTALE
3130,Betekom,Oui,BEGIJNENDIJK,BRABANT FLAMAND
4300,Bettincourt,Oui,WAREMME,LIEGE
5030,Beuzet,Oui,GEMBLOUX,NAMUR
2560,Bevel,Oui,NIJLEN,ANVERS
4960,Bevercé,Oui,MALMEDY,LIEGE
9700,Bevere,Oui,OUDENAARDE,FLANDRE-ORIENTALE
8791,Beveren,Oui,WAREGEM,FLANDRE-OCCIDENTALE
8800,Beveren,Oui,ROESELARE,FLANDRE-OCCIDENTALE
8691,Beveren-Aan-De-Ijzer,Oui,ALVERINGEM,FLANDRE-OCCIDENTALE
9120,Beveren-Waas,Non,BEVEREN-WAAS,FLANDRE-ORIENTALE
3581,Beverlo,Oui,BERINGEN,LIMBOURG
3740,Beverst,Oui,BILZEN,LIMBOURG
4610,Beyne-Heusay,Non,BEYNE-HEUSAY,LIEGE
6543,Bienne-Lez-Happart,Oui,LOBBES,HAINAUT
3360,Bierbeek,Non,BIERBEEK,BRABANT FLAMAND
6533,Biercée,Oui,THUIN,HAINAUT
1301,Bierges,Oui,WAVRE,BRABANT WALLON
1430,Bierghes,Oui,REBECQ,BRABANT WALLON
4460,Bierset,Oui,GRÂCE-HOLLOGNE,LIEGE
5380,Bierwart,Oui,FERNELMONT,NAMUR
5640,Biesme,Oui,METTET,NAMUR
6531,Biesme-Sous-Thuin,Oui,THUIN,HAINAUT
5640,Biesmerée,Oui,METTET,NAMUR
1547,Biévène,Non,BIÉVÈNE,BRABANT FLAMAND
5555,Bièvre,Non,BIÈVRE,NAMUR
1390,Biez,Oui,GREZ-DOICEAU,BRABANT WALLON
6690,Bihain,Oui,VIELSALM,LUXEMBOURG
8920,Bikschote,Oui,LANGEMARK-POELKAPELLE,FLANDRE-OCCIDENTALE
4831,Bilstain,Oui,LIMBOURG,LIEGE
3740,Bilzen,Non,BILZEN,LIMBOURG
7130,Binche,Non,BINCHE,HAINAUT
3850,Binderveld,Oui,NIEUWERKERKEN,LIMBOURG
3211,Binkom,Oui,LUBBEEK,BRABANT FLAMAND
5537,Bioul,Oui,ANHÉE,NAMUR
8501,Bissegem,Oui,KORTRIJK,FLANDRE-OCCIDENTALE
7783,Bizet,Oui,COMINES-WARNETON,HAINAUT
2830,Blaasveld,Oui,WILLEBROEK,ANVERS
5542,Blaimont,Oui,HASTIÈRE,NAMUR
7522,Blandain,Oui,TOURNAI,HAINAUT
3052,Blanden,Oui,OUD-HEVERLEE,BRABANT FLAMAND
8370,Blankenberge,Non,BLANKENBERGE,FLANDRE-OCCIDENTALE
7040,Blaregnies,Oui,QUÉVY,HAINAUT
7321,Blaton,Oui,BERNISSART,HAINAUT
7370,Blaugies,Oui,DOUR,HAINAUT
4670,Blégny,Non,BLÉGNY,LIEGE
7620,Bléharies,Oui,BRUNEHAUT,HAINAUT
4280,Blehen,Oui,HANNUT,LIEGE
6760,Bleid,Oui,VIRTON,LUXEMBOURG
4300,Bleret,Oui,WAREMME,LIEGE
7903,Blicquy,Oui,LEUZE-EN-HAINAUT,HAINAUT
3950,Bocholt,Non,BOCHOLT,LIMBOURG
4537,Bodegnée,Oui,VERLAINE,LIEGE
2530,Boechout,Non,BOECHOUT,ANVERS
3890,Boekhout,Oui,GINGELOM,LIMBOURG
9961,Boekhoute,Oui,ASSENEDE,FLANDRE-ORIENTALE
4250,Boëlhe,Oui,GEER,LIEGE
8904,Boezinge,Oui,IEPER,FLANDRE-OCCIDENTALE
1670,Bogaarden,Oui,PEPINGEN,BRABANT FLAMAND
5550,Bohan,Oui,VRESSE-SUR-SEMOIS,NAMUR
5140,Boignée,Oui,SOMBREFFE,NAMUR
4690,Boirs,Oui,BASSENGE,LIEGE
7170,Bois-D'Haine,Oui,MANAGE,HAINAUT
7866,Bois-De-Lessines,Oui,LESSINES,HAINAUT
5170,Bois-De-Villers,Oui,PROFONDEVILLE,NAMUR
4560,Bois-Et-Borsu,Oui,CLAVIER,LIEGE
5310,Bolinne,Oui,EGHEZÉE,NAMUR
4653,Bolland,Oui,HERVE,LIEGE
1367,Bomal,Oui,RAMILLIES,BRABANT WALLON
6941,Bomal-Sur-Ourthe,Oui,DURBUY,LUXEMBOURG
4607,Bombaye,Oui,DALHEM,LIEGE
3840,Bommershoven,Oui,BORGLOON,LIMBOURG
7603,Bon-Secours,Oui,PÉRUWELZ,HAINAUT
4100,Boncelles,Oui,SERAING,LIEGE
5310,Boneffe,Oui,EGHEZÉE,NAMUR
2820,Bonheiden,Non,BONHEIDEN,ANVERS
5021,Boninne,Oui,NAMUR,NAMUR
1325,Bonlez,Oui,CHAUMONT-GISTOUX,BRABANT WALLON
6700,Bonnert,Oui,ARLON,LUXEMBOURG
5300,Bonneville,Oui,ANDENNE,NAMUR
5377,Bonsin,Oui,SOMME-LEUZE,NAMUR
2221,Booischot,Oui,HEIST-OP-DEN-BERG,ANVERS
8630,Booitshoeke,Oui,VEURNE,FLANDRE-OCCIDENTALE
2850,Boom,Non,BOOM,ANVERS
3631,Boorsem,Oui,MAASMECHELEN,LIMBOURG
3190,Boortmeerbeek,Non,BOORTMEERBEEK,BRABANT FLAMAND
1761,Borchtlombeek,Oui,ROOSDAAL,BRABANT FLAMAND
2140,Borgerhout,Oui,ANTWERPEN,ANVERS
3840,Borgloon,Non,BORGLOON,LIMBOURG
4317,Borlez,Oui,FAIMES,LIEGE
3891,Borlo,Oui,GINGELOM,LIMBOURG
6941,Borlon,Oui,DURBUY,LUXEMBOURG
2880,Bornem,Non,BORNEM,ANVERS
1404,Bornival,Oui,NIVELLES,BRABANT WALLON
2150,Borsbeek,Non,BORSBEEK,ANVERS
9552,Borsbeke,Oui,HERZELE,FLANDRE-ORIENTALE
5032,Bossière,Oui,GEMBLOUX,NAMUR
8583,Bossuit,Oui,AVELGEM,FLANDRE-OCCIDENTALE
1390,Bossut-Gottechain,Oui,GREZ-DOICEAU,BRABANT WALLON
3300,Bost,Oui,TIENEN,BRABANT FLAMAND
5032,Bothey,Oui,GEMBLOUX,NAMUR
9820,Bottelare,Oui,MERELBEKE,FLANDRE-ORIENTALE
6200,Bouffioulx,Oui,CHÂTELET,HAINAUT
5004,Bouge,Oui,NAMUR,NAMUR
7040,Bougnies,Oui,QUÉVY,HAINAUT
6830,Bouillon,Non,BOUILLON,LUXEMBOURG
6464,Bourlers,Oui,CHIMAY,HAINAUT
5575,Bourseigne-Neuve,Oui,GEDINNE,NAMUR
5575,Bourseigne-Vieille,Oui,GEDINNE,NAMUR
7110,Boussoit,Oui,LA LOUVIÈRE,HAINAUT
7300,Boussu,Non,BOUSSU,HAINAUT
5660,Boussu-En-Fagne,Oui,COUVIN,NAMUR
6440,Boussu-Lez-Walcourt,Oui,FROIDCHAPELLE,HAINAUT
1470,Bousval,Oui,GENAPPE,BRABANT WALLON
3370,Boutersem,Non,BOUTERSEM,BRABANT FLAMAND
5500,Bouvignes-Sur-Meuse,Oui,DINANT,NAMUR
7803,Bouvignies,Oui,ATH,HAINAUT
2288,Bouwel,Oui,GROBBENDONK,ANVERS
8680,Bovekerke,Oui,KOEKELARE,FLANDRE-OCCIDENTALE
3870,Bovelingen,Oui,HEERS,LIMBOURG
4300,Bovenistier,Oui,WAREMME,LIEGE
5081,Bovesse,Oui,LA BRUYÈRE,NAMUR
6671,Bovigny,Oui,GOUVY,LUXEMBOURG
4990,Bra,Oui,LIERNEUX,LIEGE
7604,Braffe,Oui,PÉRUWELZ,HAINAUT
5590,Braibant,Oui,CINEY,NAMUR
1420,Braine-L'Alleud,Non,BRAINE-L'ALLEUD,BRABANT WALLON
1440,Braine-Le-Château,Non,BRAINE-LE-CHÂTEAU,BRABANT WALLON
7090,Braine-Le-Comte,Non,BRAINE-LE-COMTE,HAINAUT
4260,Braives,Non,BRAIVES,LIEGE
9660,Brakel,Non,BRAKEL,FLANDRE-ORIENTALE
5310,Branchon,Oui,EGHEZÉE,NAMUR
6800,Bras,Oui,LIBRAMONT-CHEVIGNY,LUXEMBOURG
7604,Brasménil,Oui,PÉRUWELZ,HAINAUT
2930,Brasschaat,Non,BRASSCHAAT,ANVERS
7130,Bray,Oui,BINCHE,HAINAUT
2960,Brecht,Non,BRECHT,ANVERS
8450,Bredene,Non,BREDENE,FLANDRE-OCCIDENTALE
3960,Bree,Non,BREE,LIMBOURG
2870,Breendonk,Oui,PUURS-SINT-AMANDS,ANVERS
4020,Bressoux,Oui,LIÈGE,LIEGE
8900,Brielen,Oui,IEPER,FLANDRE-OCCIDENTALE
2520,Broechem,Oui,RANST,ANVERS
3840,Broekom,Oui,BORGLOON,LIMBOURG
1931,Brucargo,,Brucargo,
7940,Brugelette,Non,BRUGELETTE,HAINAUT
8000,Brugge,Non,BRUGGE,FLANDRE-OCCIDENTALE
5660,Brûly,Oui,COUVIN,NAMUR
5660,Brûly-De-Pesche,Oui,COUVIN,NAMUR
1785,Brussegem,Oui,MERCHTEM,BRABANT FLAMAND
3800,Brustem,Oui,SINT-TRUIDEN,LIMBOURG
1000,Bruxelles,Non,BRUXELLES,BRUXELLES
1099,Bruxelles X,,Bruxelles X,
7641,Bruyelle,Oui,ANTOING,HAINAUT
6222,Brye,Oui,FLEURUS,HAINAUT
3440,Budingen,Oui,ZOUTLEEUW,BRABANT FLAMAND
9255,Buggenhout,Non,BUGGENHOUT,FLANDRE-ORIENTALE
7911,Buissenal,Oui,FRASNES-LEZ-ANVAING,HAINAUT
5580,Buissonville,Oui,ROCHEFORT,NAMUR
1501,Buizingen,Oui,HALLE,BRABANT FLAMAND
1910,Buken,Oui,KAMPENHOUT,BRABANT FLAMAND
4760,Bullange,Non,BULLANGE,LIEGE
8630,Bulskamp,Oui,VEURNE,FLANDRE-OCCIDENTALE
3380,Bunsbeek,Oui,GLABBEEK,BRABANT FLAMAND
2070,Burcht,Oui,ZWIJNDRECHT,ANVERS
4210,Burdinne,Non,BURDINNE,LIEGE
6927,Bure,Oui,TELLIN,LUXEMBOURG
9420,Burst,Oui,ERPE-MERE,FLANDRE-ORIENTALE
7602,Bury,Oui,PÉRUWELZ,HAINAUT
4750,Butgenbach,Non,BUTGENBACH,LIEGE
3891,Buvingen,Oui,GINGELOM,LIMBOURG
7133,Buvrinnes,Oui,BINCHE,HAINAUT
6743,Buzenol,Oui,ETALLE,LUXEMBOURG
6230,Buzet,Oui,PONT-À-CELLES,HAINAUT
7604,Callenelle,Oui,PÉRUWELZ,HAINAUT
7642,Calonne,Oui,ANTOING,HAINAUT
7940,Cambron-Casteau,Oui,BRUGELETTE,HAINAUT
7870,Cambron-Saint-Vincent,Oui,LENS,HAINAUT
1804,Cargovil,,Cargovil,
6850,Carlsbourg,Oui,PALISEUL,LUXEMBOURG
7141,Carnières,Oui,MORLANWELZ,HAINAUT
7061,Casteau,Oui,SOIGNIES,HAINAUT
5650,Castillon,Oui,WALCOURT,NAMUR
4317,Celles,Oui,FAIMES,LIEGE
5561,Celles,Oui,HOUYET,NAMUR
7760,Celles,Non,CELLES,HAINAUT
4632,Cérexhe-Heuseux,Oui,SOUMAGNE,LIEGE
5630,Cerfontaine,Non,CERFONTAINE,NAMUR
1341,Céroux-Mousty,Oui,OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON
4650,Chaineux,Oui,HERVE,LIEGE
5550,Chairière,Oui,VRESSE-SUR-SEMOIS,NAMUR
1008,Chambre des Représentants,,Chambre des Représentants,
5020,Champion,Oui,NAMUR,NAMUR
6971,Champlon,Oui,TENNEVILLE,LUXEMBOURG
6921,Chanly,Oui,WELLIN,LUXEMBOURG
6742,Chantemelle,Oui,ETALLE,LUXEMBOURG
7903,Chapelle-À-Oie,Oui,LEUZE-EN-HAINAUT,HAINAUT
7903,Chapelle-À-Wattines,Oui,LEUZE-EN-HAINAUT,HAINAUT
7160,Chapelle-Lez-Herlaimont,Non,CHAPELLE-LEZ-HERLAIMONT,HAINAUT
4537,Chapon-Seraing,Oui,VERLAINE,LIEGE
6000,Charleroi,Non,CHARLEROI,HAINAUT
6099,Charleroi X,,Charleroi X,
4654,Charneux,Oui,HERVE,LIEGE
6824,Chassepierre,Oui,FLORENVILLE,LUXEMBOURG
1450,Chastre-Villeroux-Blanmont,Oui,CHASTRE,BRABANT WALLON
5650,Chastrès,Oui,WALCOURT,NAMUR
6200,Châtelet,Non,CHÂTELET,HAINAUT
6200,Châtelineau,Oui,CHÂTELET,HAINAUT
6747,Châtillon,Oui,SAINT-LÉGER,LUXEMBOURG
4050,Chaudfontaine,Non,CHAUDFONTAINE,LIEGE
1325,Chaumont-Gistoux,Non,CHAUMONT-GISTOUX,BRABANT WALLON
7063,Chaussée-Notre-Dame-Louvignies,Oui,SOIGNIES,HAINAUT
4032,Chênée,Oui,LIÈGE,LIEGE
6673,Cherain,Oui,GOUVY,LUXEMBOURG
4602,Cheratte,Oui,VISÉ,LIEGE
7521,Chercq,Oui,TOURNAI,HAINAUT
5590,Chevetogne,Oui,CINEY,NAMUR
4987,Chevron,Oui,STOUMONT,LIEGE
7950,Chièvres,Non,CHIÈVRES,HAINAUT
6460,Chimay,Non,CHIMAY,HAINAUT
6810,Chiny,Non,CHINY,LUXEMBOURG
4400,Chokier,Oui,FLÉMALLE,LIEGE
5560,Ciergnon,Oui,HOUYET,NAMUR
5590,Ciney,Non,CINEY,NAMUR
4260,Ciplet,Oui,BRAIVES,LIEGE
7024,Ciply,Oui,MONS,HAINAUT
1480,Clabecq,Oui,TUBIZE,BRABANT WALLON
4560,Clavier,Non,CLAVIER,LIEGE
4890,Clermont,Oui,THIMISTER-CLERMONT,LIEGE
5650,Clermont,Oui,WALCOURT,NAMUR
4480,Clermont-Sous-Huy,Oui,ENGIS,LIEGE
5022,Cognelée,Oui,NAMUR,NAMUR
7340,Colfontaine,Non,COLFONTAINE,HAINAUT
